ds,NO2,SO2,PM25,PM10
2025-04-23 08:15:00,35.05223448763588,7.813680220190859,37.77116357303193,107.68000718590622
2025-04-23 08:30:00,34.97804462582164,8.18917174889556,37.65660341789601,107.6637323260176
2025-04-23 08:45:00,34.81502106287691,8.632985307818483,37.426935932196166,107.37739313475215
2025-04-23 09:00:00,34.57105455002921,9.128738303912325,37.09190700545355,106.84808005509772
2025-04-23 09:15:00,34.25709277258082,9.656246696742876,36.66493547454818,106.11320052268292
2025-04-23 09:30:00,33.88634073829753,10.192630038373139,36.16226569033373,105.21746919784418
2025-04-23 09:45:00,33.47332186926814,10.713612243747647,35.601967901262654,104.20945061029073
2025-04-23 10:00:00,33.03287230372544,11.194938616743318,35.00285501821453,103.13791788544442
2025-04-23 10:15:00,32.579146189055955,11.613821175777272,34.38338966981648,102.04830444380734
2025-04-23 10:30:00,32.12470924153798,11.950321504422718,33.760655675009,100.97951857196296
2025-04-23 10:45:00,31.679791552906444,12.18858340504611,33.14946314081782,99.96136398152062
2025-04-23 11:00:00,31.251758937799174,12.31783641727106,32.56164664537314,99.01276470850783
2025-04-23 11:15:00,30.844845885044716,12.333105192002884,32.00560211852927,98.14093318983406
2025-04-23 11:30:00,30.46017349730561,12.235577936982006,31.48609098798041,97.3415501776593
2025-04-23 11:45:00,30.09605410468866,12.032608469478282,31.004321134414468,96.59994936272324
2025-04-23 12:00:00,29.748562057926204,11.737349452707488,30.558294501917256,95.8932235385296
2025-04-23 12:15:00,29.412329170312194,11.368037662665705,30.14339222129651,95.19309834221242
2025-04-23 12:30:00,29.08150490211003,10.946974097258286,29.753151122054938,94.46935912315597
2025-04-23 12:45:00,28.7508070700168,10.499260994619117,29.380171764057234,93.69357082741244
2025-04-23 13:00:00,28.416579694066083,10.051373095065959,29.017088540413248,92.8428033133363
2025-04-23 13:15:00,28.077771327091813,9.629650782501898,28.657527696739454,91.90306744034513
2025-04-23 13:30:00,27.73675019410064,9.258807415397108,28.296979619472314,90.8721813739963
2025-04-23 13:45:00,27.39988160705036,8.960541908210418,27.93351746224472,89.76182110519298
2025-04-23 14:00:00,27.077807883615904,8.752340540503887,27.568304718258634,88.59856203243714
2025-04-23 14:15:00,26.78539048135065,8.646539560931677,27.205849031978456,87.42378620892555
2025-04-23 14:30:00,26.541296903062815,8.649857232105285,26.84714355381653,86.28028434501306
2025-04-23 14:45:00,26.367240136916905,8.762659536039521,26.50985966188893,85.24620627690828
2025-04-23 15:00:00,26.286902496032223,8.97951166905752,26.207268216153437,84.39524243733244
2025-04-23 15:15:00,26.32460054446556,9.289464153194515,25.954261935939304,83.80446658966366
2025-04-23 15:30:00,26.503767247764767,9.676810660291634,25.766361814719318,83.5494808193556
2025-04-23 15:45:00,26.845343663028782,10.122110887372648,25.658607181889778,83.69929337762424
2025-04-23 16:00:00,27.36618242540043,10.603409823369283,25.64440474926992,84.31126460236801
2025-04-23 16:15:00,28.07756871883467,11.097573374938685,25.734416448305772,85.4264622544319
2025-04-23 16:30:00,28.983960901115243,11.581654295132466,25.93556491927753,87.06575083590528
2025-04-23 16:45:00,30.08204257700414,12.034202018930078,26.25022917136158,89.22690056771653
2025-04-23 17:00:00,31.360161255011075,12.436435330663487,26.675691580142235,91.88294300592831
2025-04-23 17:15:00,32.7982067379975,12.773207332756996,27.203881750425577,94.98192537115334
2025-04-23 17:30:00,34.36795645277729,13.03370720910332,27.821443866671668,98.4481293295356
2025-04-23 17:45:00,36.03388664777083,13.211861717484933,28.510133232025165,102.18472777938824
2025-04-23 18:00:00,37.75441957742997,13.30641993230523,29.247526146921842,106.07776117427942
2025-04-23 18:15:00,39.483549284771925,13.320726082109523,30.008006528726888,110.00122905378342
2025-04-23 18:30:00,41.17276424262333,13.262205953739958,30.76397414350706,113.82301860697488
2025-04-23 18:45:00,42.77316544052235,13.141610873160957,31.48720422461235,117.41133502257978
2025-04-23 19:00:00,44.23766487506137,12.972078505518098,32.150277637159135,120.64126208463861
2025-04-23 19:15:00,45.52314274585948,12.768080652713234,32.72799534044218,123.40106848922647
